,Q,A,labeling
938, 나 이승기랑 통화 했어, 진짜 추억이었겠다,0
939, 요즘 과제가 너무 많아서 힘들어., 무슨 일 있어?,0
940, 교수님이 과제를 매일 내주셔., 그렇구나. 힘들겠다.,0
941, 교수님이 과제를 매일 내주셔., 내가 도와줄까?,0
942, 너는 괜찮아?, 응. 나는 과제가 별로 없어서 괜찮아.,0
943, 그러면 정말 고마워. 너는 과제 별로 없어?, 과제가 많으면 힘들지.,0
944, 내가 전공이 과제가 많은 전공인거 같아., 그렇구나. 그래도 잘 할 수 있을거야.,0
945, 코로나 때문에 비대면 교육 하잖아, 응 일상화가 되어버렸지,0
946, 좋아보이면서도 참 그렇더라, 그러니깐 학교에서 친구들도 만나야 하는데,0
947, 응 학교는 사회활동도 하는 곳인데, 그러니깐 그런 부분이 부족해질 것 같아,0
948, 그래도 정상화 된 곳 많지?, 그런 것 같더라고,0
949, 다행이다, 응 빨리 전부 정상화 됐음 좋겠어,0
950, 요즘 학교에서 수업 듣는데 너무 어려워., 왜? 이해가 잘 안돼?,0
951, 응. 교수님도 진도를 너무 빨리 나가서 힘들어., 그러겠다. 이해가 안되면 스트레스 받을텐데.,0
952, 맞아. 맞춰서 진도 나가면 좋을텐데., 그러게. 나중에 다시 교수님한테 여쭤 봐야겠다.,0
953, 응. 그래야지. 너는 괜찮아?, 나도 복학해서 이해가 잘 안되는게 많아.,0
954, 우리 서로 화이팅 하자., 그래. 서로 응원해주자.,0
955, 나는 아기한테 발레 알려주고 싶어, 발레? 요즘 많이 하긴 하더라,0
956, 응 진짜 많이해, 나도 발레 찬성이야,0
957, 몸 선이 예뻐진데, 여자들이 하면 좋긴 하겠다,0
958, 응 몸도 유연해지고 좋을 것 같아, 나는 수영도 한번 시켜보고 싶어,0
959, 수영도 너무 좋다, 지구력이 좋아질 듯,0
960, 대학교 다니는건 재밌어?, 아니. 재미없어.,0
961, 그렇구나. 왜 재미없어?, 내가 처음에 생각했던 대학교랑 너무 달라.,0
962, 처음에는 어떻게 생각 했는데?, 그냥 영화에서 재밌게 학교생활 하는거 같은데 그렇지 않은거 같아.,0
963, 맞아. 나도 처음에 다닐때 그랬어., 너는 대학교 다니는거 재밌어?,0
964, 나는 그럭저럭 괜찮은거 같아., 그렇구나. 너랑 같은 대학교에 다녔으면 좋았겠다.,0
965, 너는 어떤 자격증 있어?, 나는 조주기능사 하나 있어.,0
966, 그렇구나. 그거는 어떤 자격증이야?, 조주기능사는 바텐더라는 직업을 하려면 필요한 자격증이야.,0
967, 아하. 많이 어려워?, 아니. 생각보다 어렵지 않아.,0
968, 나도 한번 그 자격증 시험 보고싶다., 내가 알려줄까?,0
969, 좋아. 고마워., 대신 커피 한번 사줘.,0
970, 무슨 과목 좋아했어?, 나는 당연히 체육시간!,0
971, 역시나. 나는 수학시간, 오 수학이라니,0
972, 나 수학 좋아했어, 왜? 수학이 왜 좋아?,0
973, 어려운 문제를 풀었을때의 희열감?, 나는 짜증만 나던데,0
974, 그리고 답이 딱 정해져 있잖아, 그렇긴 하지만 공감은 잘 안된다.,0
975, 공부 때문에 난 너무 스트레스 받았었어, 언제?,0
976, 나 고등학교 때, 나는 진짜 별 생각 없이 다녔는데,0
977, 어쩜 이렇게 맘이 편했을까, 그냥 공부에 욕심이 없어서,0
978, 그래도 다들 공부하는 분위기였잖아, 그렇긴 한데 그래도 안하게 되더라고,0
979, 그럼 공부 안하고 뭐했어?, 그냥 맨날 만화보고 그랬지,0
980, 남녀공학 나왔어?, 응 고등학교 남녀공학,0
981," 나는 여중, 여고 나왔어", 와 남자들을 보질 못했겠다,0
982, 응 진짜 보기 힘들었지, 그래도 편했겠어,0
983, 응 편하고 너무 좋았어, 여고는 어때?,0
984, 완전 냄새나고 난리도 아니야, 상상했던 모습이 아닌데,0
985, 대학교 시절 어땠어?, 나는 그냥 그랬어,0
986, 대학교때 재미 없었어?, 응 그냥 별로 기억이 없네,0
987, 아쉽겠다, 그렇게 아쉽진 않아,0
988, 그래도 친구들이랑 추억 많으면 좋잖아, 그렇긴 한데 그래도 소소한 추억은 있어,0
989, 어떤 추억?, 그냥 친구들이랑 게임했던 추억,0
990, 야간 자율학습 했어?, 응 했었지,0
991, 갑자기 생각나네, 완전 추억이다,0
992, 나는 거짓말하고 집에 자주 갔어, 뭐라고 거짓말 했어?,0
993, 그냥 아프다고, 아파보이지도 않는데?,0
994, 응 그냥 그냥 연기좀 했지, 그 정성으로 공부를 하지,0
995, 어릴 떄 학원 많이 다녔어?, 아니 나는 거의 안다녔어,0
996, 나도 국영수 학원 하나 다녔어, 잘 다녔어?,0
997, 응 그냥 의무적으로 갔지, 공부에 도움 많이 됐어?,0
998, 뭐 안가는 것보다는 나았지, 다행이네,0
999, 뭐 안가는 것보다는 나았지, 요즘은 그냥 시간때우러 가잖아,0
1000, 근데 나는 학원 너무 가기 싫었어, 학원은 원래 가기 싫지,0
1001, 나는 대학교때 학생회 했었어?, 오 멋지다,0
1002, 그냥 갑자기 하고 싶더라고, 그래서 지원한거야,0
1003, 응 했는데 재밌었어, 어떤게 재밌었어?,0
1004, 그냥 오티도 가고, 오티가 뭐야?,0
1005, 오리엔테이션 트레이닝이야, 오 재밌었겠다,0
1006, 제일 친한 친구가 누구야?, 나 고등학교때 친구들,0
1007, 그 그친구들이랑 계속 연락해?, 응 계속 연락하고 자주 만나,0
1008, 사이가 좋은가보다, 너는?,0
1009, 나도 고등학교때 친구들, 역시 고등학교때 친구들이 최고야,0
1010, 맞아 그때 진짜 재밌었는데, 나도 그래 그때 참 좋았어,0
1011, 초등학교 5학년 때부터 코딩 과목이 교과과정에 들어있어," 코딩 난 전혀 할 줄 몰라, 요즘 초등학생은 수준이 높네",0
1012," 블록 코딩, 프로그래밍, 컴퓨팅 사고력 등 다양한 걸 배우고 있어", 난 무슨 말이지 하나도 모르겠어.,0
1013," 블록 코딩, 프로그래밍, 컴퓨팅 사고력 등 다양한 걸 배우고 있어", 왠지 컴퓨터 전문가 같네,0
1014, 나도 할 줄은 모르고 옆에서 보고 들은 거야, 코딩을 해야 하는 이유가 뭐야?,0
1015, 어릴 때부터 관심대상을 넓혀주려고 하는 거야, 프로그래밍 언어를 그 어린 나이에 배워두면 커서 도움이 많이 되겠다,0
1016," 맞아. 웹사이트, 데이터베이스 등 이해력이 다를거야", 나도 코딩을 미리 배워야겠어,0
1017," 맞아. 웹사이트, 데이터베이스 등 이해력이 다를거야", 나중에 아이한테 알려주기 위해.,0
1018, 너 고등학교 때 이과야? 문과야?, 난 문과 선택했어.,0
1019, 너 고등학교 때 이과야? 문과야?, 이과는 수학이 싫어서 안 갔어,0
1020, 난 그래도 과학이 맞아서 그래,  세계역사와 지리 배우면 세상 보는 눈이 조금 변하는거 같아,0
1021, 과학 역시 세상 보는 눈이 달라져, 과학도 중요하지.,0
1022, 과학 역시 세상 보는 눈이 달라져, 하지만 사회도 중요해.,0
1023, 과학 역시 세상 보는 눈이 달라져, 법과 행정학 말이야,0
1024, 법 중요하지 사회에 꼭 필요해, 난 그래서 법대 갔잖아,0
1025, 법대 나온 여자였네. 안 어려웠어?, 공부할 땐 어려운데 지금은 도움이 많이 돼,0
1026, 요즘에 직장인들 일 끝나고 자기계발 많이 하고 있데, 진짜 부지런해야 할 수 있어.,0
1027, 맞아 나도 요즘 블로그 공부하고 있는데 일 끝나면 쉬고 싶어, 그러니까 일도 하고 자기 계발도 하려면 몸이 2개 있어야 돼,0
1028, 넌 따로 하고 있는거 있어?, 나도 영어공부 하려고 책도 사고 강의도 샀는데 안 하고 있어,0
1029, 조금이라도 꾸준히 해봐, 하루에 한 강 씩만 하면 되는데 그걸 못하고 있어 ㅋ,0
1030, 그럼 달력에 표시하면서 해봐, 그것도 했는데 다 소용 없어,0
1031, 요즘 교육비 너무 많이 들어, 그러게 말이야,0
1032, 유치원때부터 시작이지?, 응 유치원부터 교육비 들어가니깐,0
1033, 영어유치원은 너무 비싸더라, 100만원이 넘는다며,0
1034, 이래서 부모들 등골이 휘나봐, 이래서 다들 투잡 뛰고 하는거지,0
1035, 중고등학교때는 어쩌냐, 열심히 돈 모아놔야지,0
1036, 요즘은 어릴 떄 부터 학원 다니잖아, 응 보면 유치원생부터 다니더라,0
1037, 어떻게 생각해?, 나는 진짜 별로인 것 같아,0
1038, 근데 학원 안가면 친구를 못사귄데, 그래도 그건 좀 너무 한 것 같아,0
1039, 근데 소외 당하면 안되잖아, 그래서 다들 어쩔 수 없이 보내는 거지,0
1040, 다같이 안가면 좋은데, 근데 요즘 시대가 안그러니깐,0
1041, 요즘 이런 저런 학원 많더라, 응 줄넘기 학원도 있어,0
1042, 맞아 은근 많던데, 줄넘기 학원에선 뭘 배울까?,0
1043, 그러게 말이야, 그냥 운동하는 법을 배우는 걸까?,0
1044, 나도 너무 궁금하다, 근데 왜 다니는 걸까?,0
1045, 그냥 운동시키려고 하는거 아닐까?, 태권도 학원처럼?,0
1046, 처음다녔던 학원이 뭐야?, 나는 태권도 학원,0
1047, 역시 남자들은 태권도구나, 너는?,0
1048, 나는 피아노학원, 역시 여자들은 피아노 학원인가,0
1049, 피아노 학원 안다녔어?, 응 안다녔어,0
1050, 피아노학원은 남자여자 다 많이 다녔는데, 근데 나는 가고싶지 않더라고,0
1051, 어릴때 도서관 많이 갔어?, 아니 거의 안갔어,0
1052, 하긴 지금처럼 도서관이 많지 않았지, 그랬지 도서관 가려면 버스탔어야 했어,0
1053, 학교 도서관도 잘 운영 안했어, 응 있어도 책이 별로였지,0
1054, 요즘은 도서관 잘되어 있어, 그러니깐 아파트마다 있잖아,0
1055, 코로나때문에 운영을 안해서 아쉬워, 나도 빨리 운영했으면 좋겠어,0
1056, 조기 교육이 꼭 필요한지 의문이야, 선행 학습하면 따라가기 수월하잖아,0
1057, 그 나이에 배우는 게 맞는 거 같아, 요즘엔 다들 너무 빠른 감이 있어,0
1058, 초등학교 때 고등수학을 한다잖아, 부모들의 욕심인거지,0
1059, 자녀 잘 되라는 건 아는데 참 어렵다, 맞아 남들보다 뒤처질까 봐 걱정은 되지,0
1060, 사회 분위기가 그렇게 만드는 거 같아, 원래 분위기라는 게 중요하잖아,0
1061, 여자들은 배우는게 많던데 너도 뭐하는거 있니?, 벨리댄스 배우고 있어요 나중에 자격증취득도 가능 하고해서요,0
1062, 어울리네 거기서 뺄살이 더있니? 키도 크고, 몸치라 배운건데 살은 빠지는건 모르겠어요 아이랑 같이 배워서 그럴수도 있고요,0
1063, 머리따로 몸따로 움직일정도로 몸치는 아니겠지?, 우울해지네요 몸치 맞아요 이상하게 예전하고는 다르네요,0
1064, 예전에 우리엄마도 밸리댄스 배우셨는데, 전 이번에 자격증 취득까지해보려고요,0
1065, 어울 릴 것 같아 잘해봐 화이팅, 문화센터에서 배우다 지금은 취업반으로 이동했죠 담에 기회되면 가르쳐드릴께요,0
1066, 교육의 진정한 목적은 무엇일까?, 음 인성교육이 우선이라고 생각해.,0
1067, 맞아 사람을 사람답게 만드는 일이지, 학생은 배운 내용을 몸으로 실천해야 해,0
1068, 이렇게 선순환의 고리를 만들면 모두 다 선한 사람일거야, 하지만 실상은 가르치는 사람과 배우는 사람의 인식 차이가 있지,0
1069, 맞아 사람이기에 생각의 차이가 생기지, 뭔가를 배운다는 것은 누군가에겐 즐거운 일이지,0
1070, 하지만 배우고 익히는 것 자체가 스트레스의 원인이 되기도 해, 아무쪼록 난 먼저 올바른 사람을 만드는 게 목적이라고 생각해,0
1071, 아 맞아 강의 듣는 거 깜빡했다, 무슨 강의 들어야 되는 거 있어?,0
1072, 아 나 클래스 신청해놨거든, 아 뭐 공부 시작했어?,0
1073, 나 배우고 싶은 거 생겨서, 대단하다 회사 다니는 것도 바쁠텐데,0
1074, 아니 내가 영어를 못하잖아, 너 일 하는데가 영어 필요한가?,0
1075," 그건 아닌데, 토익 점수 따야해서", 회사에서 토익 점수는 대체 왜 필요한건지...,0
1076, 친구 대학원 등록했대, 와 공부에 대한 열정이 대단하다,0
1077, 나는 학교 졸업하고 전공 접은지 오래야, 나도 거의 회사일만 했는데,0
1078, 이번에 석사 준비한대, 회사 다니면서 다닌대?,0
1079, 응 야간대학원이라 병행한대, 허락해준 회사도 대단하다,0
1080, 그 친구 아마 박사도 노릴건가봐, 나도 공부에 뜻이 있었으면 좋겠다,0
1081, 토익 점수 얼마나 나와?, 나 마지막으로 본 게 800점 가까이 나왔어,0
1082, 학원 다닌 거야?, 아니 인터넷 강의 들었어,0
1083, 강의는 어디서 들어?, 해커스토익이랑 요즘에 무료 강의도 많아,0
1084, 무료 강의도 괜찮아?, 응 책만 사면 강의 무료로 제공해 주는데 나쁘지 않아,0
1085, 나도 그 책 추천해 줘, 잠깐만 찾아보고 알려줄게,0
1086, 요즘 아이들은 학원을 몇살부터 다니니?, 6살이요 5살은 할수있는게 없어서 학원에서 받지않아요,0
1087, 6살?그나이에 다닐수 있는 학원이 있어?, 많아요 기본은 한글 수학 태권도 피아노,0
1088, 이런걸 6살 이해? 태권도는 이해가 가기는 하지만 남어지는 아직 어리지 않니?, 아니요 요즘이 어떤 시대인데요 6살에 있는집애들은 기본적으로 발레 바이올린 성악 시작해요,0
1089, 조기교육 얘기만 들었지 설마 너도 저렇게 하는거니?, 왠지 나쁜 엄마 된 느낌 ...당연히 해요 모른다고 생각하지않아요,0
1090, 조기교육 얘기만 들었지 설마 너도 저렇게 하는거니?, 6살이면 충분히 가능한 나이예요,0
1091, 우리떄는 그나이면 노는거 아니였니?영어도 가르쳐?, 6살부터 제딸은 영어 발레 한글 수학 이렇게다녔어요 3년째 교육하는중,0
1092, 아침부터 재빵학원 다녀왔어요, 빵 만드는 거에 관심이 많으신가 봐요,0
1093, 아들이 빵을 만드는걸 좋아하는데 인터넷을 봐도 잘모르겠더라고요, 100점 아파 네요 아들을 위해서 막 만드는 기술을 배우시고,0
1094, 아무리 해봐도 손맛이 부족한건지 맛이 안나더라고, 빵 만들 때 힘들지 않아요 밀가루 반죽하는 게 많이 힘들다고 하던데요,0
1095, 손맛 이라는게 잘 모르겠지만 부족해도 많이 부족한것 같아요, 그래도 빵 만드는 건 기술이라서 노하우가 있을 것 같아요,0
1096, 오늘 학원에서 실기 공부를 하는데 진작 공부좀 할껄 그랬나봐, 설마 팀장님이 빵점 맞은 건 아니시겠죠,0
1097, 영어학원에 아이는 보내고 있니?, 네 오늘부터 영어학원 다니고있어요,0
1098, 영어 말고 다른 외국어도 하나 가르치는 게 좋을 거 같애, 1학년인데 엄마들 교육시키는거 듣고 놀랐어요,0
1099, 이제 영어는 한국어처럼 기본이 돼버렸어, 외국어 2개 정도는 가르치려고 하는데 뭐가 좋을까요,0
1100, 요즘 중국이 대세 니깐 중국어 가르쳐봐, 중국어는 어렵지 않을까요?한자 쓰는것도 힘들텐데,0
1101, 그러니까 학원에서 배우라는 거지, 열심히 가르쳐 봐야겠어요 교육비도 엄청 많이 들어갈꺼같아요,0
1102, 조서 시대 마지막 임금이 누군지 아니, 저 지금 공부 시키시는 건가요 왜 이러시죠,0
1103, 그럼 우리나라 초대 대통령은 누구게, 저 지금 갑자기 수능 공부 하는거 아니죠 긴장하고 있습니다,0
1104, 역사를 알아야 미래를 알 수 있지, 역사는 학교 다닐때 공부하는 거죠 지금은 꼭 필요한가요?,0
1105, 교육이란 게 어려운 게 아니란다, 학교다닐때 공부 좀 하셨나봐요 지금은 상식이 중요해요,0
1106, 당연히 기초 역사는 알고 있어야지 그래야 우리 나라 사람이지, 역사 교육은 드라마로 보는줄 알았는데요,0
1107, 이번에 유학을 좀 갈려고 하는데 어디로 갈까, 다 늙어서 웬 유학이요 뭐 배우고 싶은 거 있으세요,0
1108, 나 말고 니 딸아이 말하는 거야, 민망하신가 봐요 저희 딸은 아직 어려서 유학  생각은 없어요,0
1109, 우리 큰딸은 지금 유학 중이야, 어디서 공부하고 있어야 무슨 공부하고 있어요,0
1110, 지금 미국에 있어 공부를 좀 잘해서, 부러워요 우리 딸도 나중에 유학 가서 공부 열심히 했음 좋겠어요,0
1111, 공부는 처음부터 이제는 시켜야 되는 거 같아 나중에 잘 하는 건 없는 거 같아, 저희 딸은 공부는 좋아하는데 아직은 어려서 어디까지 할지 모르겠어요,0
1112, 이번 성적 잘 나왔어?, 아니 아직 안나왔는데...,0
1113, 오늘 시험이였다면서, 맞아ㅠ 근데 아직 성적 안나와서 몰라,0
1114, 어때? 너는 잘봤어?ㅠㅠ, 아니 망한거 같아ㅠㅠ,0
1115, 그러면 어떡해ㅠㅠ, 어쩔수 없는거지 다음에 열심히해야지,0
1116, 맞아 행복은 성적순이 아니래ㅠㅠ, 응 그렇게 위안해야지,0
1117, 너 토익학원 언제 부터 등록할거야?, 나 아마 12월? 왜?,0
1118, 아니 나 그 학원에 포인트 있어서 너 등록할려면 줄려고, 오!나야 좋지!,0
1119, 근데 그거 양도 되는지 확인해봐야돼ㅠㅠ, 그래? 그럼 내가 알아볼게,0
1120, 주면 고맙지 알아봤어?, 응 알아봤는데 그거 양도 가능하대!,0
1121, 그러면 너 토익학원 등록할때 말해줘, 응 나 등록할때 말해줄게!,0
1122, 너는 부모님이랑 친한 편이야?, 응. 나는 외동이라서 그런 편인 것 같아.,0
1123, 그렇구나. 부모님이랑 얘기는 잘 통해?, 그런 것 같아.,0
1124, 그렇구나. 부모님이랑 얘기는 잘 통해?, 가끔 고민 상담도 하고 그래.,0
1125, 신기하다. 나도 그러고 싶어., 넌 부모님이랑 친하지 않아 ?,0
1126, 응. 나는 편하게 얘기하기 조금 어려운 거 같아., 그렇구나. 왜 불편한 거 같아?,0
1127, 부모님이 보수적이셔서 나를 이해하지 못하시는 거 같아서., 그래도 부모님도 노력하실거야.,0
1128, 부모님이 보수적이셔서 나를 이해하지 못하시는 거 같아서., 너도 편하게 얘기하려해봐.,0
1129, 오빠가 빨리 독립했으면 좋겠어., 어떤 이유로?,0
1130, 집에 사람이 너무 많아서 내 공간이 없어., 그렇구나. 정말 짜증나겠다.,0
1131, 맞아. 원래 오빠가 독립 했었다가 회사 때문에 집으로 들어왔어., 빨리 다시 독립하면 좋겠다.,0
1132, 너는 외동이라서 부럽다., 내 공간이 있는건 좋은데 그래도 가끔은 외로워.,0
1133, 그렇구나. 그건 내가 몰랐어., 괜찮아. 얼른 너만의 공간이 생겼으면 좋겠다.,0
1134, 나 진짜 너무 피곤하다., 너 또 과제 하느라 밤 샜지?,0
1135, 우리 과는 시험 대신 과제를 제출해야 하니까 더 많은 것 같아., 확실히 미술 쪽은 필기쪽보다는 실기 쪽 과제가 많을 테니까.,0
1136, 안 그래도 그러려고 했어. 고마워 ㅠㅠ, 시험기간 끝나면 맛있는 거 먹으러 가자.,0
1137, 나 그 날만 생각하면서 잘 버텨 볼게., 우리 시험 과제 다 화이팅.,0
1138, 다들 요즘에 뭐 공부하고 있는 것 있어?, 나는 특별히 공부하는 것은 없어.,0
1139, 졸업시험을 봐야한다니 공부하는 것도 힘들겠다., 그러게 공부하는 거는 할 만해?,0
1140," 아이고, 그럴 수도 있겠다.", 그래도 할 수 있으니까 잘 해보자.,0
1141, 너는 끈기가 있으니까 분명 잘 해낼 수 있을 거야., 걱정하지 말고 잘 해봐!,0
1142, 요즘 국가고시를 앞두고 있는데 공부를 어떻게 해야 될지 모르겠어., 저번에 너 문제집 보니까 엄청 두껍더라.,0
1143, 위생사 응시 준비 중이야., 학교생활하랴 위생사 준비하랴 힘들지?,0
1144, 휴학도 생각해 봤는데 일단은 한번 응시해 보고 안되면 휴학하려고., 온전히 국가고시에만 집중할 수 있으니까 휴학하는 거도 좋은 것 같아.,0
1145, 정말 합격할 수 있겠지?, 지금처럼만 열심히 하면 합격할 수 있을 거야.,0
1146, 내일 발표해야하는데 너무 떨린다., 너라면 발표 잘 할 수 있어.,0
1147," 그건 아니고 개인발표야, 그래서 더 떨려.", 나도 혼자 한 거 발표할때가 제일 떨리더라.,0
1148, 내생각에는 그게 있는거 같아., 어떤 거 발표하는거야?,0
1149, 그냥 교양인데 여성교육에 대해 조사한걸 발표해야해., 꼭 점수 잘 받길 바랄게.,0
1150, 나 요즘 문해력이 떨어지는 것 같아., 너 정도는 완전 정상이야.,0
1151, 국어를 잘 안 가르치나?, 그건 아니구 매체의 영향이 크대.,0
1152," 책 읽는 분위기를 만들고, 책 읽는 위주로 교육을 하는게 중요한 것 같아.", 맞아. 나도 어릴 때 책은 안읽어도 서점에 가는거랑 새 책 좋아했어.,0
1153, 나는 공지를 무조건 요약해달라고 할 정도는 아닌데., 우리 다 정상이야!,0
1154, 전공때문에 학원을 다녀야 할 것 같아., 어떤 학원에 다녀야 하는데?,0
1155," 응, 컴퓨터 학원에 다니려고.", 우리집 근처에도 컴큐터 학원 있던거 같아.,0
1156, 프로그램으로 3D 모델링 만들고 그래., 게임같은거 만드는건가?,0
1157, 배우는 과정에 따라 많이 다르더라 하지만 국비지원이 있으니까 괜찮을거야., 국비지원이면 좋은 기회다.,0
1158, 과제가 너무 많은 것 같아., 너 보면 항상 과제하고 있더라.,0
1159, 오늘은 실험 보고서 작성했어!, 친구 실험 보고서 쓰는 거 보니까 힘들어 보이더라.,0
1160, 이젠 좀 쉬고 싶은데 다른 과제가 또 있어., 나는 휴학 중이라 복학하면 과제 많을까 봐 무서워.,0
1161, 과제를 내주시는 이유도 수업을 잘 듣고 있나 확인하려고 내시는 것 같기도 해., 아니면 학점을 조금이라도 잘 주시려고 그러는 것 같기도 해.,0
1162, 고등학교 다닐 때 독서감상문 숙제해본 적 있어?, 항상 제출 날짜에 맞춰서 급하게 마무리했던 기억이 있어.,0
1163, 나는 고등학교 때 같은 책 제목인데 작가가 다른 책을 헷갈려서 잘못 쓴 적 있어., 그런 경우도 많은거같아 그래서 제목뿐만 아니라 작가도 확인해야 돼.,0
1164, 마감 2시간 전에 줄거리 읽고 다시 작성했어., 그래도 새로 작성해서 제출해서 다행이다.,0
1165, 다음부턴 미리미리 확인하고 검사하려고!, 뭐든 미리 하는 것이 제일 중요한 것 같아.,0
1166, 내일까지 과제를 해야하는데 아직 반도 못 했어., 지금이라도 빨리 해야하지않아?,0
1167," 발등에 불떨어졌어, 따뜻하다.", 빨리 끝낼 수 있는 과제야?,0
1168, 하고 있기는 한데 자율적으로 하면 되는거라 퀄리티를 어디까지 맞춰야할지 모르겠어., 그런 기준이 없으면 하기 힘들겠다.,0
1169, 이런 자유주제가 좋기는한데 솔직히 말하면 조금 힘들어., 나는 그렇게 자율적으로 해야하면 어떤거 할지 내내 생각하다가 다시 엎을거 같아.,0
1170, 나 이번주부터 스페인어 스터디 만들거야., 스페인어 요즘 배우는 사람 많더라.,0
1171, 아니 하나도 못하는데 처음 배워보는 거야., 그럼 인터넷 강의는 안 들어?,0
1172, 일단은 독학하려고 책 사놨어., 외국어도 독학이 가능한가?,0
1173, 아무래도 인터넷강의는 돈이 많이 드니까., 요즘 EBS 강의 잘 되어있어.,0
1174, 예전에 빨간펜 했었어?, 빨간펜이 아니고 구몬이었지만 비슷한거 해봤네,0
1175, 그게 효과가 있었다고 생각해? 난 하기 싫었거든, 효과는 크게 없었고 그냥 관리해주는 정도가 다였던거같아,0
1176, 하기 싫은 공부를 시키는게 과연 아이들에게 도움이 될까로 논문을 써보고 싶어, 그 논문을 쓴다면 내가 바로 살게,0
1177, 어떤게 효과적인 교욱인가를 꼭 찾아낼게!, 효과적인 교육법을 찾아서 내 자식 교육 한번 부탁할게!,0
1178, 프로그래밍의 필요성이 높아진 것 같아., 맞아. 요즘 초등학교에서도 프로그래밍 배우고 있더라.,0
1179, 나는 파이썬이랑 스크래치 배워본 적 있어., 나는 아직 없지만 한번 배워보고 싶어.,0
1180, 나는 학교에서 교양수업으로 가볍게 배운 거라 다시 배워보고 싶어., 그럼 우리 같이 프로그래밍 스터디 만들어볼까?,0
1181, 파이썬 어때? 가볍게 배워서 다시 배우고 싶어!, 그래! 그러면 우리 책 한번 찾아보자!,0
1182, 고등학교 친구들이랑 스페인어 스터디 같이 하기로 했어., 독학이라도 같이 하는 게 낫지.,0
1183, 내가 스터디 장이지!, 스터디장의 임무가 막중하네.,0
1184, 내가 하자고 했으니까 더 열심히 하게 될 거 같아., 취미로 배우는 건데도 열정 넘치네.,0
1185, 내가 배운다고 말한지 벌써 두달이 된 거 같아서 이제 진짜 열심히 해야돼., 스터디 시작하면 어떤지 알려줘.,0
1186, 의무교육 제도에서 개선되어야 할 점이 무엇일까?, 요즘 교육은 내가 봤을땐 유럽국가들처럼 하고싶은걸 할 수 있게끔 바뀌어야된다고 생각,0
1187, 아 또 유럽에는 그런 면모가 있었구나., 오 나도 그 사실은 처음 알았어 선진국만 따라할 게 아니구나,0
1188, 아 또 유럽에는 그런 면모가 있었구나., 선진국을 따라하되 다 따라하지는 말자는 얘기지?,0
1189, 나는 학교 다닐때 잠만 자서 사실 잘 기억이 안나, 나도 매일 잠만 잤거든... 맨 뒷자리가 제일 좋더라,0
1190, 언어를 배워볼까 생각 중이야., 나중에 취업에도 도움 되고 언어 배우면 좋지.,0
1191, 나는 일본어 혹은 영어 생각 중이야., 어떤 방식으로 공부할 예정이야?,0
1192, 독학할 예정인데 혼자서 공부가 가능할지 걱정이야., 요즘 인터넷 강의도 잘 나와있어서 가능할 거야.,0
1193, EBS에 강의 있는지 한번 알아봐야겠다., 나도 강의 찾는 거 도와줄게.,0
1194, 다들 배워보고 싶거나 해보고 싶은거 있어?, 나는 국궁을 배워보고싶어 예전부터 활을 좋아해서,0
1195, 나는 가죽세공 같은 거를 배워보고 싶긴한데 이런 취미관련 교육은 비용이 너무 큰거 같아, 은근 부담되긴하지 그래도 요샌 유튜브 튜토리얼 영상도 많아서 진입장벽이 좀 낮은거 같아,0
1196, 유튜브로 인해서 교육의 접근성이 확실히 좋아진거 같아, 그런데 확실히 인터넷으로 교육하면 어지간히 집중력이 좋지않는이상 몰입이 잘 안되는거 같기도 하더라구,0
1197, 여기서 약간 세대차이가 나는게 요즘 애들은 인강에 익숙한 세대라서 오히려 인강을 더 선호한다고 하더라고, 인강이 편하긴해 확실히,0
1198, 여기서 약간 세대차이가 나는게 요즘 애들은 인강에 익숙한 세대라서 오히려 인강을 더 선호한다고 하더라고, 근데 계속 딴짓을 하니까...이거...나만 이런건가?,0
1199, 대학교를 꼭 가야되냐?, 아니 난 전혀 그렇지 않다고 봐,0
1200, 맞아 그런데 남들에게 학력으로 무시받는 이런 사회에서 안가기도 힘든것같아, 그런데 요새는 충분히 변했지 않아?,0
1201, 남을 애초에 무시하지 않으면 될 일인데 어쩌다 이렇게 됐을까, 기성세대가 만들어놓은거 아닐까?,0
1202, 남을 애초에 무시하지 않으면 될 일인데 어쩌다 이렇게 됐을까, 난 자식낳으면 대학 굳이 안보낼꺼 같아,0
1203, 나 이번에 토익 시험 봐보려고!, 오~ 학원 다니면서 공부하는거야?,0
1204, 응! 학원도 다니면서 혼자 공부도 더 해야지, 맞아 학원 도움이 좀 크더라고 혼자 할때는 단어 위주로 많이 외웠어,0
1205, 맞아 생소한 단어들이 많아서 어렵더라..., 그렇긴해도 꾸준히 외우다보면 금방 외울거야!,0
1206, 단어장을 한번 만들어서 외워봐야겠다!, 직접 만드는 단어장도 좋지만 요새 단어장 앱 좋은것도 많잖아~,0
1207, 다들 수학여행이나 수련회는 다 갔다 왔지?, 당연히 다녀왔지! 우린 다들 가는 경주로 갔다왔던 기억이 나네,0
1208, 아 그때 분위기가 많이 안 좋아서 다들 여행을 안 보내시려고 하더라, 맞아. 나도 그 시기에 친구들과 배 여행을 가려고 했는데 부모님이 못 가게 하셨어.,0
1209, 너희들은 어떤 게 가장 기억에 남아?, 나는 캠프파이어 하면서 부모님에게 전하지 못했던 마음을 되새기고 눈물을 흘렸던 때가 너무 감동적이었어,0
