,Q,A
2934,1 : 설마 그걸 모른다고?엄청 게임 싫어하거나하는 친구일듯한데,2 : 나이 차이가 나니까 모르더라고요 요즘 게임 재미 있는게 많아요
2935,1 : 어제 맞고 치다 게임 머니 1억 잃었다,2 : 많이도 하셨네요 머니 많이 있는데 수열할까요?
2936,1 : 게임 머니는 빌려줄 수도 있어,2 : 그런 게임 말고 활동적인 게임 좀 하세요
2937,1 : 그럼 둘이서 같이 하는 게임이 뭐가 있을까,2 : 저는 닌텐도 게임에 빠졌어요 댄스도 하고 살도빠지니 좋아요
2938,1 : 그럼 게임기를 돈 주고 사야 되잖니,2 : 가격은 좀 나가는데 하나 있으면 잘쓰는거 같아요 팩이 많이 비싸지요
2939,1 : 니가 하나 사주면 한 번 열심히 해볼게,2 : 저 돈없는데요 저희 집에 있는거 빌려드릴께요 게임 해보세요
2940,1 : 딸 아이가 닌텐도 게임 사달라고 하지 않니,2 : 닌텐도 게임기 너무 비싸요 가격이 후덜덜 합니다
2941,1 : 닌텐도 게임기는 얼마 정도 하니,2 : 50만원 넘어요 게임팩도 10만원대요 근데 게임들이 다 재미있어요
2942,1 : 게임기 보다는 게임 프로그램이 더 비싸지 않아,2 : 맞아요 그거 은근 중독됩니다 하지마세요
2943,1 : 아이고 게임 한 번 하는데 돈 엄청 들어가는구나,2 : 저는 닌텐도 게임에 빠졌어요
2944,1 : 나는 예전에 플레이스테이션 2 가지고 있었는데,2 : 그거 저도 있어요 그걸로 삼국지 엄청 많이 했어요
2945,1 : 알투비트 새로 나온대,2 : 헐 완전 추억의 게임 아니냐
2946,1 : 그러니까 우리 초딩때 나왔었는데,2 : 나 그때 진짜 열심히 했잖아
2947,1 : 근데 지금까지 안죽고 살아있는게 신기해,2 : 그러니까 완전 추억돋겠다
2948,1 : 암튼 재출시하면 해봐야지,2 : 나도 해볼래 모바일용인가?
2949,1 : 몰라 그건? 아마 컴퓨터용일껄?,2 : 아 진짜? 요즘은 모바일이 대센데...
2950,1 : 넷마블이라는 회사 알아?,2 : 그럼 당연히 알지
2951,1 : 하긴 게임하면 넷마블인데 모를리가 없지,2 : 거기에 야채부락리 했었는데 키키
2952,1 : 맞아 나도 그 게임 했었어,2 : 아직도 있는지 모르겠네
2953,1 : 그러게 이따가 검색해봐야겠다,2 : 넷마블에서 다른 게임도 유명했잖아
2954,1 : 모든 게임 유명했을걸?,2 : 맞아 키키 다음에 시간 맞으면 같이 게임하자
2955,1 : 너 보드게임 중에 뭐 좋아해?,2 : 나 보드게임을 잘 안좋아해ㅠㅠ
2956,1 : 그럼 보드게임 뭐해봤어?,2 : 나 보드게임 중에 루미큐브 해봤어
2957,1 : 아 나 그 보드게임 알아! 어때?,2 : 그거 머리쓰는 게임이던데!
2958,1 : 응 맞아 숫자 놀이인데 은근히 어려워,2 : 맞아 근데 나 은근히 그거 잘해
2959,1 : 정말? 다음에 한번 같이해볼래?,2 : 응 다음에 만나면 같이해보자
2960,1 : 너 닌텐도 갖고 있었나?,2 : 응 나 닌텐도 있지. 동물의 숲 하잖아
2961,1 : 오 너도 해봤구나?,2 : 응응 동물의숲 하다보면 중독되는 것 같아.
2962,1 : 맞아 그 bgm이 마음을 편안하게 해주는 것 같대,2 : 응응 뭔가 약간 힐링 게임 같아
2963,1 : 그래? 오 나도 한번 해봐야겠다.,2 : 응 이거 재밌어. 그리고 마리오 카트도 재밌어.
2964,1 : 너 그것도 있어?,2 : 아니 친구가 빌려줘서 해봤는데 재밌더라고!
2965,1 : 너네 저번에 도쿄 올림픽 경기들 생각나?,2 : 너무 인상깊은 경기들이 많았어서 당연히 아직도 생각나지.
2966,1 : 그럼 제일 기억에 남았던 경기 있어?,2 : 아무래도 나는 양궁 3관왕 안산 선수 모든 경기들이 기억에 남았어.
2967,1 : 양궁하면 나는 남자 단체전 슛오프도 정말 기억에 남는 것 같아.,2 : 그 슛오프 화살 쏠 때 정말 짜릿했지.
2968,1 : 진짜 스포츠 경기가 이렇게 재밌는 줄 왜 몰랐지?,2 : 진짜 앞으로도 스포츠 경기 종종 챙겨볼 것 같아.
2969,1 : 너네 등산하는 것 좋아해?,2 : 등산은 아무래도 힘들어서 좋아하진 않지.
2970,1 : 아무래도 우리 체력이 체력이다 보니 힘들긴 하겠지?,2 : 몇 살만 어렸으면 잘 다녔으려나?
2971,1 : 겨울에 북한산 등산을 했었어?,2 : 날 좋아도 힘든데 게다가 어릴때 겨울 등산이라니 힘들었겠다.
2972,1 : 그래도 아직도 생각날 정도면 추억인 것 같네.,2 : 대충 얘기만 들었는데 나였어도 추억일 것 같아.
2973,1 : 배구 경기 보러 가고 싶다.,2 : 나도 IBK 직관 가고 싶어.
2974,1 : 배구 경기 보러 가고 싶다.,2 : 나도 IBK 직관 가고 싶어.
2975,1 : 코로나 좀 풀려서 이제 직관도 어느정도 되나 봐.,2 : 좋은 자리에서 보고싶다!
2976,1 : 코로나 좀 풀려서 이제 직관도 어느정도 되나 봐.,2 : 좋은 자리에서 보고싶다!
2977,1 : 아무래도 희진언니가 있으니...,2 : 난 김수지도 좋아...
2978,1 : 아무래도 희진언니가 있으니...,2 : 난 김수지도 좋아...
2979,1 : 좀 멀지만 다같이 보러 갈까?,2 : 그래. 교통편 좀 알아봐야지.
2980,1 : 좀 멀지만 다같이 보러 갈까?,2 : 그래. 교통편 좀 알아봐야지.
2981,1 : 야구 경기 봤는데 너무 짜증나.,2 : 응원하는 팀이 졌구나.
2982,1 : 그냥 진 게 아니라 실책을 많이 해서 졌어.,2 : 그럼 더 짜증 날 만 해.
2983,1 : 대체 프로선수들이 왜 그러는지 모르겠어.,2 : 회사원도 직장에서 실수한다고 생각하면 되지 않을까?
2984,"1 : 하긴, 본인들도 하고 싶어서 실수 하는게 아니겠지.",2 : 응 그리고 오늘 실수한다고 내일도 하진 않을거야.
2985,1 : 요즘 코로나로 홈트 많이하던데 다들 해봤어?,2 : 홈트 많이했지 코로나 이전부터 했어
2986,1 : 요가매트 같은거 사야하나 고민중이야,2 : 요가매트 깔고 요가 할꺼야?
2987,1 : 매트 깔고 그냥 홈트 하려고 관절을 위해서,2 : 운동보다 병원을 가야 하지 않을까?
2988,1 : 아프면 병원을 가야하긴 해 운동보다,2 : 예전에 운동하다 손가락 다친적 있지?
2989,1 : 곧 겨울인데 다들 스키 타러 갈거야?,2 : 난 스키 타본적이 없어 대구에서는 스키타러 멀리가야 되니까 가는게 쉽지 않더라고
2990,1 : 어떤 느낌일지 궁금하긴 해,2 : 난 루지랑 카트 타봤어
2991,1 : 어떤 느낌일지 궁금하긴 해,2 : 둘다 스릴있고 재미있는데 같은 코스만 반복하면 지루해
2992,1 : 무섭지는 않았어? 난 스키도 그렇고 언덕 내려오는 스포츠는 좀 무섭더라 ㅠㅠ,2 : 무서워하는 사람들도 있는데 헬멧도 쓰고 안전장치 잘되있어서 괜찮았어
2993,1 : 나 요즘 운동 필라테스 하고 있어,2 : 난 12월부터 복싱이나 유도 같은거 시작할려고 알아보는 중이야
2994,1 : 나는 이제 시작한지 두 달 조금 넘었어 ㅠ,2 : 운동을 안하니까 몸이 망가지는 느낌이라서 좀 하고 살아야 될거같아
2995,1 : 나는 이제 시작한지 두 달 조금 넘었어 ㅠ,2 : 괜히 운동이 좋은게 아니야
2996,1 : 댄스 수업 전에 미리 가서 복습하니까 수업이 더 수월하더라.,2 : 춤에 대한 열정이 상당하네.
2997,1 : 응응 지난주 수업 때 복습 안 해서 힘들었어.,2 : 일주일 지나면 금방 까먹지.
2998,1 : 잘 추지도 않아서 수업의 1/3을 복습에 쓰니까 아깝더라.,2 : 그럼 오늘은 알차게 수업했겠네.
2999,1 : 맞아 1:2 수업이라 친절하게 알려주시더라.,2 : 초보자에게 적합한 수업이네.
3000,1 : 요즘 요가 배우고 있어!,2 : 어때? 자세 교정에 도움 되는 것 같아?
3001,1 : 자세 교정에 많이 도움 되는 것 같아.,2 : 그러면 나도 한번 도전해 보고 싶다.
3002,1 : 필라테스도 한번 해보고 싶었는데 도전해 볼 기회가 없었어.,2 : 맞아. 한번 강습 받는데도 비싼 것 같아.
3003,1 : 허리가 많이 굽은 느낌이라 한번 알아봐야겠다!,2 : 필라테스 통해서 많이 교정됐으면 좋겠다.
3004,1 : 춤 추느라 죽는 줄 알았어.,2 : 아 댄스 열정이 과해.
3005,1 : 오늘 스텝을 많이 배워서 연습실 종횡무진하느라 힘들었어.,2 : 춤이 생각보다 땀이 많이 나는 운동이구나.
3006,1 : 땀 엄청 많이 흘려.,2 : 땀까지 흘리는 거면 확실히 운동이 되네.
3007,1 : 미리 가서 연습한 거까지 하면 2시간 정도 췄지.,2 : 땀까지 흘리는 거면 확실히 운동이 되네.
3008,1 : 오늘 춤 배우는 거 재미있었어.,2 : 언니 춤도 배워?
3009,1 : 나 오늘이 2주차였어.,2 : 우와 특이한 취미다.
3010,1 : 아니 힙합 댄스 배우고 있어.,2 : 힙합댄스라니 더 특이하네.
3011,1 : 4번에 12만원이라 좀 비싸긴 해.,2 : 그래도 아예 못할 가격은 아닌데?
3012,1 : 언니 요즘도 야구 직관 가능해?,2 : 코로나로 인해서 대구만 직관 가능해!
3013,1 : 언니는 최근에 직관하러 간 적 있어?,2 : 대구만 직관 가능해서 삼성라이온즈파크에 직관하러 갔었어.
3014,1 : 나는 코로나 이전에 한번 방문한 적 있었는데 정말 재밌었어.,2 : 그러면 다음번에 한번같이 직관하러 갈래
3015,1 : 그러면 자리는 어떻게 되어 있어?,2 : 거리 두기해서 중간에 한자리씩 띄워져 앉을 수 있도록 되어있어!
3016,1 : 오늘 스크린 골프 한 번 치고 왔어.,2 : 최근 사람들 골프 많이 치더라.
3017,1 : 사실 자세를 잘 못잡겠어서 힘들었어.,2 : 아마추어들은 힘들거 같긴 해.
3018,1 : 나도 그래서 치러 간거였는데 내가 너무 방심한거였어.,2 : 자세가 일반인한테는 무리갈 수도 있대.
3019,1 : 고마워 다음에는 제대로 연습해보고 가야겠다.,2 : 내가 아는 사람은 자세 잘못잡고 했다가 병원 다니고 있어.
3020,1 : 다들 탁구 쳐봤어?,2 : 탁구 군대에서 많이 쳐봤지
3021,1 : 다들 탁구 쳐봤어?,2 : 전에 친구들이랑 종종 탁구장도 갔던거 같아
3022,1 : 탁구장 가서 옆테이블 여자들이랑 내기 탁구같은거 해보지는 않았어?,2 : 보통 포켓볼은 여자들이 많이 치더라
3023,1 : 탁구장 가서 옆테이블 여자들이랑 내기 탁구같은거 해보지는 않았어?,2 : 피구 오랜만이다 초등학교때 했었는데
3024,1 : 다들 운동 하는거 있어?,2 : 나는 최근에 유튜브로 집에서 홈트레이닝 하고 있어
3025,1 : 다들 열심히 운동 하는구나,2 : 그러게 나도 더 열심히 해야겠다
3026,1 : 나는 그냥 주변 산책 정도야,2 : 이러다 우리 바디프로필 찍는거 아냐?!
3027,1 : 아쉽지만 나는 강아지를 안키워,2 : 정말 아쉽다 그럼 강아지는 내가 한마리 빌려줄게
3028,1 : 혹시 패러글라이딩 해본사람 있어?,2 : 아니 없어 나는 해보고 싶어도 무서워서 못하겠더라고
3029,1 : 혹시 패러글라이딩 해본사람 있어?,2 : 근데 목숨걸고 하는 느낌이 약간 있지 않나?
3030,1 : 그렇지 확실히 스릴이 있긴하지 목숨을 걸게 되니까 극한의 스릴감이 되버리는것같아,2 : 근데 익스트림 스포츠의 묘미가 확실히 있는건 사실이야
3031,1 : 그렇지 확실히 스릴이 있긴하지 목숨을 걸게 되니까 극한의 스릴감이 되버리는것같아,2 : 그래서 번지점프도 해보고 싶은데 굳이? 라는 생각이 들더라고
3032,1 : 번지점프 여자친구랑 껴안고 한 번 같이 뛰어보고싶어 여친이 있다면 말이지...,2 : 다들 그래도 아예 안하겠다는 스탠스는 아니구나
3033,1 : 요즘 골프 많이 치던데 해본적 있어?,2 : 골프 쳐봤어 홀인원도 해봤어!
3034,1 : 요즘 골프 많이 치던데 해본적 있어?,2 : 팡야 좋지 타격감이 제대로더라구
3035,1 : 그래도 나는 아직 부담스럽더라,2 : 실제로 해보면 온몸의 근육이 땡기더라구
3036,1 : 아 그렇구나 나는 팔만 아플줄 알았어,2 : 요즘엔 엄청 대중화 됐지 아무나 할 수 있는게 스포츠여야 하는데 아무나 못했지 그동안
3037,1 : 다들 조기축구 해봤어?,2 : 조기축구 하려고 일어나기가 힘들더라고 평생동안 안해봤어
3038,1 : 다들 조기축구 해봤어?,2 : 운동끝나고는 뭘먹어도 맛있지
3039,1 : 어릴때는 몰랐는데 조기축구로 건강 챙기시는 분들이 많더라고,2 : 건강챙기려다가 괜히 더 다치는거 아냐?
3040,1 : 맞아 그래서 조심히 해야해 일상에 지장을 주면 안되니까,2 : 스포츠는 양날의 검이라 생각해 그냥 걷는게 최고야
3041,1 : 배우고 싶은 운동있어?,2 : 나는 필라테스 배워보고싶어
3042,1 : 요즘 필라테스가 핫하긴 하더라,2 : 수영 좋지 물속에서 하는 거라 연골에도 많은 부담이 안가고 좋대
3043,1 : 많이 비싸더라 그래서 나는 못할거 같아,2 : 필라테스 너무 비싸더라 인간적으로...
3044,1 : 나중에 저렴해지면 그때 가서야 조금 해봐야지,2 : 맞아 이제 필라테스는 쳐다보지도 않을거야
3045,1 : 너흰 어떤 운동에 자신이 있어?,2 : 나는 볼링이랑 당구를 잘쳐.
3046,1 : 오 나는 농구랑 배구에 자신이 있어.,2 : 신기하게 하나도 안 겹치네 키키
3047,"1 : 그럼 하루씩 날 잡아서 볼링, 당구, 탁구, 배드민턴,  농구, 배구를 하러 갈까?",2 : 오 그거 괜찮네! 친구들 몇 명 더 불러서 해보자.
3048,1 : 그래 **이랑 **이랑 **이도 초대하자 어때?,2 : 캬~ 바로 초대해 바로!
3049,1 : 오늘 축구 결승 우리 집 와서 볼 사람,2 : 너희 집 오늘 안된다고 하지 않았어?
3050,1 : 원래 누나가 집에 온다고 했었는데 안 온대,2 : 잘됐네 나 너네 집 가서 볼래
3051,1 : 원래 누나가 집에 온다고 했었는데 안 온대,2 : 지금 가도 돼?
3052,1 : 지금 비어있어 올 때 치킨 사 와,2 : 너도 그냥 와 그거 다 썼다면서
3053,1 : 오늘 결승인데?,2 : 그니까 앞으로 결승 또 언제 올라간다고
3054,1 : 알았어 넌 올 때 전화 하고와 필요한 거 있으면 시키게,2 : 그래 그냥 대충 끝내고 와 배고프다
3055,1 : 당구 치러 갈 사람 있어?,2 : 오 당구 좋지~ 4구 치러 가자!
3056,1 : 4구는 그렇게 어렵지 않아.,2 : 맞아! 3구가 어려운 거지.
3057,"1 : 말 그대로 3구는 공 세개로, 4구는 공 4개로 하는거고 4구용 당구공이 조금 더 커.","2 : 룰은 3구는 다른 공 두 개를 맞춰야 하는데 마지막 공이 맞기 전에 당구대 벽, 그러니까 쿠션에 총 세 번을 튕겨야 해."
3058,"1 : 말 그대로 3구는 공 세개로, 4구는 공 4개로 하는거고 4구용 당구공이 조금 더 커.",2 : 4구는 쿠션 상관없이 빨간 공 두 개를 다 맞추면 되는 거고.
3059,1 : 맞아 3구는 우리도 아직 못쳐 하하,2 : 3구는 나중에 우리가 아저씨가 되야 칠 수 있지 않을까? 키키
3060,1 : 당연하지! 처음이니까 잘 알려주고 돈은 각자 나눠서 내자.,2 : 그래그래. 어느 정도 너도 실력이 늘면 이제 당구비 내기를 하는 거지 하하
3061,1 : 내 친구가 철인 3종경기에 도전한다더라,2 : 와 그 체대 나온 친구?
3062,1 : 생각하는 것보다 더 힘든가봐,2 : 예전에 내 친구가 그거 도전한다고 하더니 한 달만에 포기했었어
3063,1 : 그래서 나보고 운동이나 같이 다니자고 하는데... 좀 고민된다,2 : 뭐가 고민이야?
3064,1 : 그래서 나보고 운동이나 같이 다니자고 하는데... 좀 고민된다,2 : 너도 철인 3종경기 해보려고?
3065,1 : 운동을 고등학교 이후로 한 번도 안했거든,2 : 야 요즘은 자기 관리도 스펙이야
3066,1 : 그렇지? 그래 친구 따라서 운동 좀 해야겠다,2 : 그런 의미에서 내일 축구 좀 할래?
3067,1 : 왜 이렇게 오늘 집중을 못 했어?,2 : 미안하다 경기 직전에 여자친구랑 싸우는 바람에
3068,1 : 이길 수 있는 상대인데 이게 뭐야,2 : 그래도 오늘 제일 결정적인 실수는 너가 제일 많이 했잖아
3069,1 : 자꾸 지니까 응원단도 안 나온다고 하더라고... 자꾸 나한테 비중이 과해져서 실수가 나온거고,2 : 그래 우리 다 오늘 잘못한 게 많았으니까 서로 덮고 넘어가자
3070,1 : 내일인데 대체 정신을 어디다가 두고 다니는 거야?,2 : 재수강 수업인데도 시험 망쳐서 많이 속상한가보다
3071,1 : 최근에 관람한 스포츠경기 있어?,2 : 아니 없어 요새 스포츠에 흥미가 없어서...
3072,1 : 최근에 관람한 스포츠경기 있어?,2 : 다들 무슨 스포츠 좋아하는데?
3073,1 : 물론 상기 종목들은 하는것보다 보는걸 좋아하지 특히 여자 선수들,2 : 하긴 여자선수들은 직접 볼 기회가 없지 참?
3074,1 : 그렇지...? 내가 선수가 아닌이상거의 보기힘들지,2 : 단 한번도? 나중에 스포츠 경기 보러가자 재밌을꺼야
3075,1 : 너네는 스키가 좋아 스노우 보드가 좋아?,2 : 나는 스키가 좋아
3076,1 : 의외네 보드도 많이 타던데,2 : 보드를 배워보고 싶었는데 기회가 없었어
3077,1 : 보드가 위험하고 무섭긴해도 멋은 좀 있지 않아?,2 : 멋부리다가 다치면 마음이 아프잖아
3078,1 : 안전하게만 타면 사실 별 문제는 없지~,2 : 너가 안전하게 타보고 안다치면 알려줘 생각해볼게!
3079,1 : 보드 배우고 싶으면 가르쳐줄게,2 : 그래 좋지. 이용권이 비싸서 걱정이다.
3080,1 : 최근에 친구가 제주도 갔다 왔는데 승마체험을 해봤대!,2 : 오 승마체험? 재밌을거 같다!
3081,1 : 맞아 나도 제주도는 가봤지만 승마체험은 엄두가 안나더라고,2 : 아무래도 내 몸을 말에게 맡겨야 하니까 무서울지도 몰라
3082,1 : 유튜브로 찾아보니까 말이랑 교감하면서 타는게 정말 멋져보인다,2 : 교감도 교감이지만 말을 관리하는것도 한몫하겠는걸...?
3083,1 : 한번 기회가 되면 승마체험 간단하게 해보고 싶어!,2 : 나도! 말이랑 합을 맞춰야 한다는게 매우 매력있어
3084,1 : 와 학교 앞에 수영장 새로 생겼네,2 : 아 진짜? 안 그래도 요즘 수영 생각 엄청 났는데
3085,1 : 진짜 크다 무슨 백화점인줄 알았어,2 : 잘됐다 나 거기 오픈하면 계속 다닐건데 너희도 같이 다닐래?
3086,1 : 다이빙은 그냥 수영장에서도 할 수 있는거 아냐?,2 : 그냥 물에 빠지는 다이빙이 아니라 아마 잠수하는 다이빙을 말하는 거야
3087,1 : 맞는 것 같다 수심이 최대 27미터래,2 : 엄청 깊네 재밌겠다
3088,1 : 맞는 것 같다 수심이 최대 27미터래,2 : 나 원래 다니던 곳은 파주라 너무 멀었거든
3089,1 : 그러게 좀 재미있을 것 같은데 처음 배우기 어려워?,2 : 아냐 처음엔 강사랑 같이 수업을 듣긴 해야 되는데 다들 금방 하더라
3090,1 : 교양 과목중에 캠핑이 있는데 이거 들어본 사람 있어?,2 : 그런 과목도 있어?
3091,1 : 교양 과목중에 캠핑이 있는데 이거 들어본 사람 있어?,2 : 나 이번에 교양 과목 하나 들어야 되는데 그거나 들을까
3092,1 : 평가가 어떻대? 뭐 배우는 건지 알 수가 없어,2 : 그냥 캠핑 몇 번 다녀오고 성적 나오는 과목 아냐?
3093,1 : 와 재밌겠네 이거 들어야겠다,2 : 나랑 같이 신청하자 나 교양 학점이 모자라
3094,1 : 왜? 캠핑장에서 뭐 힘들 일이 있나?,2 : 그러게 그냥 가서 교수님 말씀만 좀 듣고 하면 되는거 아냐?
3095,1 : 아 그러면 좀 고민되는데,2 : 난 그래도 들을래 나랑 같이 신청하자
3096,1 : 나랑 탁구 동아리 같이 할 사람,2 : 동아리 찾아다니더니 결국 고른게 탁구야
3097,1 : 오늘 동아리 박람회 하길래 구경하다가 봤는데 재밌겠더라고,2 : 그래? 나도 사람들이랑 같이 운동좀 하고 싶긴 하더라
3098,1 : 헬스는 혼자 다니면 좀 심심하지,2 : 맞아 같이 다니는 사람들 보면 부러운데 동네에 같이 운동할 친구가 없어
3099,1 : 쟤 동아리 선배랑 싸웠잖아,2 : 그 동아리는 사람들이 별로야
3100,1 : 아니 그래서 나랑 탁구 동아리 같이 갈 사람 없어?,2 : 나랑 가자 오랜만에 공놀이나 좀 해야지
3101,1 : 나 야구 티켓 생겼는데 같이 갈 사람,2 : 웬일로 너가 야구를 봐? 재미 없다면서
3102,1 : 아는 분이 주셨는데 버릴 수도 없고 그래서,2 : 몇 장이나 있는데?
3103,1 : 아는 분이 주셨는데 버릴 수도 없고 그래서,2 : 나도 보러 갈까 생각하고 있었는데
3104,1 : 난 야구 잘 몰라서 누가 알려줘야 돼,2 : 경기 시작 언제야? 세 시인가?
3105,1 : 혼자 뭐 하려고,2 : 그러게 난 시간 맞춰서 갈 건데
3106,1 : 그래 그럼 경기장 도착하면 전화 줄게,2 : 어차피 근처니까 쟤랑 만나서 같이 갈게
3107,1 : 스카이다이빙 해 본 사람 있어?,2 : 오 이번에 놀러가서 하게?
3108,1 : 아니 꼭 그런 건 아니고 그냥 관심이 생겨서,2 : 너 다음 달에 호주 간다고 하지 않았어?
3109,1 : 이번에 호주 가는건 친척들이랑 같이 가는거라 하고싶어도 못 해,2 : 아 아쉽네 후기 듣고 싶었는데
3110,1 : 오 그건 괜찮겠다 친척들이랑 같이 할 수도 있고,2 : 스킨스쿠버는 나 작년에 해봤어
3111,1 : 그래 친척들한테 한 번 물어봐야겠다,2 : 어렵지도 않아 꼭 해봐
3112,1 : 우리 다음 대회가 언제야?,2 : 내년 3월이야 내 생일 날 대회 시작이더라
3113,1 : 당장 내일부터 시작인데 이제와서 뭐 더 할 수 있는게 있을까,2 : 그래 준비한만큼 하는 거지 뭐
3114,1 : 나야 작년에도 참가했는걸,2 : 별로 긴장할 것 까지야 있나?
3115,1 : 나야 작년에도 참가했는걸,2 : 어차피 본선 진출하기 전까진 쉬울거야
3116,"1 : 뭘 걱정하는지는 알겠는데, 너무 긴장할 필요 없어",2 : 그래 오히려 너무 긴장하면 제 실력도 안나와
3117,1 : 우리 연습할 때 상대팀들이랑 해봤잖아? 괜찮을 거야,2 : 맞아 연습경기에서 진 적 없잖아?
3118,1 : 서핑보드 타러 갈껀데 같이 갈래?,2 : 같이 가자. 할 줄은 모르지만 말이야.
3119,1 : 배우면 금방 탈 수 있어. 우리집에 보드가 44개 있거든 골라서 가져가,2 : 보트에 타서 바라봐 줄 게.
3120,1 : 파도에 몸을 맡기고 타면 돼,2 : 요즘 실내서 탈수 있는 곳도 있더라.
3121,1 : 나는 파도 크기나 그날 기분에 따라서 보드를 골라서 타,2 : 강사가 알려주기도 하던데. 우선은 배워야 같이 탈 수 있을 듯.
3122,1 : 나 어제 수상스키 타고 왔잖아,2 : 어머. 난 지난주 제트스키 탔었는데. 수상스키는 탈만해?
3123,1 : 오히려 요즘 타는게 재미있어. 시원하고 좋아,2 : 나는 한번 강에 빠졌더니 너무 추웠어.
3124,1 : 내가 또 스피드를 좋아하잖아. 매달려서 커브 틀때 스릴있고 좋아,2 : 와 멋있다. 난 좀 무서웠어.
3125,1 : 한번 스피드에 재미를 느끼면 누구나 좋아하게 될꺼야. 역시 수상스키가 제일 재미있어,2 : 나도 도전해보고 싶어.
3126,1 : 나 운동 모임에서 자전거 타러 가기로 했음!,2 : 너 자전거 잘 못타잖아.
3127,1 : 나 운동 모임에서 자전거 타러 가기로 했음!,2 : 나도 껴도 됨?
3128,1 : 언니들 가고 싶으면 내가 모임원들한테 물어볼게!,2 : 몇 킬로나 되지?
3129,1 : 언니들 가고 싶으면 내가 모임원들한테 물어볼게!,2 : 나 자전거로는 한번도 안가봐서 가늠이 안되네...
3130,1 : 인라인스케이트를 타는데 소질있는거 같아,2 : 부럽다. 난 그저 그래.
3131,1 : 내가 한 중심 잡거든. 일찍 배웠으면 스포츠뉴스에 나오지 않았을까?,2 : 어머. 그 정도로 잘 했던 거야? 대단해.
3132,1 : 스포츠인이 될 피가 흐르고 있었는데 몰랐어,2 : 완전 부럽다. 난 저질체력이라 운동 못 해.
3133,1 : 재능을 일찍 발견 했어야 하는데,2 : 늦지 않았어 지금이라도 시작해봐.
3134,1 : 난 달리기선수가 꿈이였어. 스포츠선수 같은거 장래희망인적 있어?,2 : 나는 현대무용가가 꿈이었지.
3135,1 : 나는 보는 경기보단 내가 직접 하는걸 좋아하는데 그중 달리기가 제일 만만하더라고,2 : 나도 직접 하는 걸 좋아해. 달리기도 좋았는데 선수 할 정도는 아니었어.
3136,1 : 발레하면 이쁘지. 발목 부상으로 하다가 그만두는 사람들이 많더라,2 : 나도 무용관련은 다 하고 싶었어.
3137,1 : 나같이 다리 굵은 사람이 축구나 달리기 같은 다리로 하는 직업을 갖었어야 하는데 아쉬워,2 : 나도 이 튼튼한 허벅지로 운동선수를 했어야 하는데
3138,1 : 다들 야구 좋아해?,2 : 어릴땐 좋아했는지 지금은 관심도 없어
3139,1 : 무슨 팀 좋아해?,2 : 오우 삼성 키키 요즘 잘하나?
3140,1 : 삼성... 나는 잠실이라 두산,2 : 이야 삼성 뭐야 왜이렇게 잘해
3141,1 : 그럼 **는 이승엽 있을때부터 팬이였나,2 : 오 삼성 경기 한번 봐야겠다
3142,1 : 특별한 스포츠 취미를 가진 사람?,2 : 키키 난 메이저 운동만 해봐서 막 승마이런거 말하는거임?
3143,1 : 그치 나는 라켓볼 해봤어,2 : 뭐지 어디서 들어봤는데
3144,1 : 흠 약간 스쿼시 비슷한거?,2 : 오 키키 나 스쿼시 채 있는데 쳐본적이 없음
3145,1 : 근데 실내에서 땀내면서 치는거라 재밌어,2 : 그니까 재밌겠더라 뭔가 스트레스 풀릴듯
3146,1 : 너네 그렇게 빈둥빈둥 먹기만 하면 살찐다?,2 : 안 그래도 친구 만나서 마라톤 하기로 했음!
3147,1 : 너네 그렇게 빈둥빈둥 먹기만 하면 살찐다?,2 : 그럴래? 친구한테 물어볼게. 잠시만~
3148,1 : 아니... 나 조금있다가 남자친구 만나기로 헀어.,2 : 데이트도 데이트지만 언니도 운동 좀 해야하지 않음?
3149,1 : 아니... 나 조금있다가 남자친구 만나기로 헀어.,2 : 키키 우리보고 빈둥빈둥 살찐다고 하더니 언니도 똑같네
3150,1 : 이제 프로야구 순위 확정되었나보다,2 : 1위팀은 어디가 된거야?
3151,1 : 삼성에 관심이 없어서 모르겠는데,2 : 그럼 여보 엘지는 잘했어?
3152,1 : 맞아 포스트시즌에서는 지긴 하지,2 : 두 팀 다 포스트시즌에 진출한거야?
3153,1 : 엘지도 계속 상위권이라 올라감,2 : 이번에는 왠지 엘지가 이길듯
3154,1 : **이 다시 나오나봐,2 : 빙상쪽인가? 그때 올림픽에서 싸운애들?
3155,1 : 뭔가 흐지부지 되서 내막을 잘 모르겠던데,2 : 그러니까. 알고 싶어도 진실을 모르겠네
3156,1 : 그런것 같은데 그때도 인성문제였지,2 : 맞아 이쁜데 인상이 뭔가 쎄니까 더 무서워보이던데
3157,1 : 협회문제가 많다고 하던데,2 : 양궁빼고 모든 협회는 별로라고 하더라
3158,1 : 겨울에도 스쿠버 다이빙 할 수 있나?,2 : 굳이 겨울에 해야겠냐?
3159,1 : 겨울에도 스쿠버 다이빙 할 수 있나?,2 : 일단 자격증부터 따라 키키
3160,1 : 그리고 장비만 잘 준비하면 생각보다 안 춥대.,2 : 그래? 마냥 추울 거라고 생각했는데...
3161,1 : 그리고 장비만 잘 준비하면 생각보다 안 춥대.,2 : 아~ 겨울에 하면 또 겨울에만 볼 수 있는 생물들도 보고...
